City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Indiaroba,BR,-11.5192,-37.5117,74.57,85,86,3.94,overcast clouds
191,Leningradskiy,RU,69.3833,178.4167,26.02,83,100,9.86,overcast clouds
192,Hamilton,US,39.1834,-84.5333,53.6,40,90,10.36,overcast clouds
193,Beira,MZ,-19.8436,34.8389,75.2,78,20,4.16,few clouds
194,Eureka,US,40.8021,-124.1637,61.0,67,6,8.01,clear sky
195,Barcelos,PT,41.5388,-8.6151,62.01,88,0,1.01,clear sky
196,Porosozero,RU,62.7191,32.727,28.76,92,0,0.49,clear sky
197,Kuala Sungai Baru,MY,2.3594,102.0353,77.0,94,20,1.14,light rain
198,Saldanha,ZA,-33.0117,17.9442,69.8,56,46,5.75,scattered clouds
199,Hami,CN,42.8,93.45,50.68,16,29,7.74,scattered clouds
200,Ambulu,ID,-8.345,113.6058,73.29,91,51,3.2,broken clouds
201,Lokomotivnyy,RU,53.0118,60.5684,46.54,64,100,6.42,overcast clouds
202,Ankazoabo,MG,-22.2833,44.5167,68.45,91,1,6.02,clear sky
203,Anadyr,RU,64.75,177.4833,23.0,80,40,24.61,snow
204,Baker City,US,44.7749,-117.8344,60.01,25,1,9.22,clear sky
205,Patharia,IN,23.9,79.2,80.17,31,15,8.88,few clouds
206,Ranong,TH,9.9658,98.6348,79.95,83,79,4.05,broken clouds
207,Scottsbluff,US,41.8666,-103.6672,33.8,86,90,11.5,snow
208,Bilibino,RU,68.0546,166.4372,13.77,86,100,3.58,overcast clouds
209,Sena Madureira,BR,-9.0656,-68.6569,77.45,92,97,2.33,overcast clouds
210,Funadhoo,MV,6.15,73.2667,82.35,74,99,4.83,heavy intensity rain
211,Emporia,US,38.4039,-96.1817,59.0,36,1,10.36,clear sky
212,Kloulklubed,PW,7.0419,134.2556,73.4,94,90,37.98,heavy intensity rain
213,Makushino,RU,55.2103,67.2442,44.73,76,69,9.31,broken clouds
214,Vanimo,PG,-2.6741,141.3028,78.37,86,92,3.69,overcast clouds
215,Plettenberg Bay,ZA,-34.0527,23.3716,61.56,75,100,9.95,overcast clouds
216,Cabedelo,BR,-6.9811,-34.8339,77.0,94,75,5.75,broken clouds
217,Curaca,BR,-8.9903,-39.9094,82.29,50,100,16.08,overcast clouds
218,Ostrovnoy,RU,68.0531,39.5131,27.7,92,99,4.99,overcast clouds
219,Xuddur,SO,4.1213,43.8894,77.61,68,89,11.95,overcast clouds
220,Menongue,AO,-14.6585,17.691,62.29,90,87,1.81,light rain
221,Batagay-Alyta,RU,67.8006,130.4114,-1.98,87,77,3.94,broken clouds
222,Andenes,NO,69.3143,16.1194,39.2,81,51,19.57,broken clouds
223,Kodiak,US,57.79,-152.4072,42.8,81,90,9.22,light rain
224,Port-Gentil,GA,-0.7193,8.7815,82.4,89,20,6.91,few clouds
225,Kayerkan,RU,69.3497,87.7602,-14.4,97,100,14.74,overcast clouds
226,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,100,75,18.37,light snow
227,Puerto Quijarro,BO,-17.7833,-57.7667,80.04,63,33,3.24,scattered clouds
228,Yershov,RU,51.3513,48.2766,54.88,53,100,8.43,overcast clouds
229,Sarangani,PH,5.4033,125.4636,81.57,79,100,10.63,overcast clouds
230,Tasiilaq,GL,65.6145,-37.6368,26.6,86,90,19.57,snow
231,Shelburne,CA,44.0787,-80.2041,44.01,87,100,10.2,overcast clouds
232,Karsun,RU,54.1994,46.9827,52.7,66,99,2.95,overcast clouds
233,Mormugao,IN,15.4,73.8,82.4,83,40,3.44,scattered clouds
234,Cidreira,BR,-30.1811,-50.2056,72.34,75,99,12.59,overcast clouds
235,Churapcha,RU,62.0025,132.4325,22.33,94,99,7.14,overcast clouds
236,Aleppo,SY,36.25,37.5,58.78,41,4,7.47,clear sky
237,Joensuu,FI,62.6012,29.7632,28.99,74,0,1.52,clear sky
238,Ahipara,NZ,-35.1667,173.1667,66.81,66,0,6.58,clear sky
239,Diban,SY,35.0365,40.5167,68.67,23,1,1.92,clear sky
240,Santiago Del Estero,AR,-27.7951,-64.2615,76.86,62,30,6.69,scattered clouds
241,Orange Walk,BZ,17.8333,-88.8333,87.8,62,20,8.05,few clouds
242,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,73,20,3.44,few clouds
243,Abu Kamal,SY,34.4506,40.9171,69.22,21,0,5.55,clear sky
244,Hun,LY,29.1268,15.9477,75.61,20,84,16.2,broken clouds
245,Tual,ID,-5.6667,132.75,82.83,73,98,10.8,overcast clouds
246,Teya,RU,60.3778,92.6267,37.85,97,100,17.52,light rain
247,Klaksvik,FO,62.2266,-6.589,44.6,93,73,18.41,broken clouds
