City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Kamphaeng Phet,TH,80.37,broken clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
597,Wagar,SD,81.7,overcast clouds,16.1525,36.2032,
603,Urubicha,BO,78.62,overcast clouds,-15.3833,-62.95,
607,Paita,PE,80.6,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
614,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
618,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
622,Harper,LR,81.34,overcast clouds,4.375,-7.7169,Screensaver
623,Moerai,PF,80.85,few clouds,-22.4333,-151.3333,Le Manotel
627,Ipixuna,BR,80.6,broken clouds,-1.7625,-48.8043,Casa da Oscarina
628,Magaria,NE,81.86,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
629,Salinopolis,BR,79.57,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
631,Lazaro Cardenas,MX,84.15,clear sky,17.9583,-102.2,Hotel Quinta Antigua
633,Bartica,GY,84.2,few clouds,6.4,-58.6167,Relax Inn Hotel
636,Quelimane,MZ,77.0,light rain,-17.8786,36.8883,Hotel Flamingo
641,Barra,BR,83.39,overcast clouds,-11.0894,-43.1417,Motel Albatroz
644,Las Lomas,PA,82.4,scattered clouds,8.4333,-82.4,Hotel Castilla
652,Kibala,TD,86.0,clear sky,9.1104,18.3463,hotel safari
655,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
672,Tabou,CI,81.28,broken clouds,4.423,-7.3528,hotêl doufoulougou
677,Barentu,ER,79.32,broken clouds,15.1139,37.5928,
679,Alugan,PH,79.66,overcast clouds,12.2188,125.4808,JM Lodge
681,Teahupoo,PF,87.8,light rain,-17.8333,-149.2667,Vanira Lodge
691,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
694,Meadow Lake,US,75.0,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
695,Mumford,GH,81.66,scattered clouds,5.2618,-0.759,Spanish Villa
697,Sumter,US,75.0,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
